"column_name","data_type","nulls","uniq_values","total_data","null_percentage"
"weight","text",98569,9,101766,96.86
"max_glu_serum","text",96420,3,101766,94.75
"A1Cresult","text",84748,3,101766,83.28
"medical_specialty","text",49949,72,101766,49.08
"payer_code","text",40256,17,101766,39.56
"race","text",2273,5,101766,2.23
"diag_3","text",1423,789,101766,1.40
"diag_2","text",358,748,101766,0.35
"diag_1","text",21,716,101766,0.02
"diabetesMed","text",0,2,101766,0.00
"discharge_disposition_id","text",0,26,101766,0.00
"encounter_id","text",0,101766,101766,0.00
"examide","text",0,1,101766,0.00
"gender","text",0,3,101766,0.00
"glimepiride","text",0,4,101766,0.00
"glimepiride-pioglitazone","text",0,2,101766,0.00
"glipizide","text",0,4,101766,0.00
"glipizide-metformin","text",0,2,101766,0.00
"glyburide","text",0,4,101766,0.00
"glyburide-metformin","text",0,4,101766,0.00
"insulin","text",0,4,101766,0.00
"metformin","text",0,4,101766,0.00
"metformin-pioglitazone","text",0,2,101766,0.00
"metformin-rosiglitazone","text",0,2,101766,0.00
"miglitol","text",0,4,101766,0.00
"nateglinide","text",0,4,101766,0.00
"num_lab_procedures","text",0,118,101766,0.00
"num_medications","text",0,75,101766,0.00
"num_procedures","text",0,7,101766,0.00
"number_diagnoses","text",0,16,101766,0.00
"number_emergency","text",0,33,101766,0.00
"number_inpatient","text",0,21,101766,0.00
"number_outpatient","text",0,39,101766,0.00
"patient_nbr","text",0,71518,101766,0.00
"pioglitazone","text",0,4,101766,0.00
"readmitted","text",0,3,101766,0.00
"rosiglitazone","text",0,4,101766,0.00
"time_in_hospital","text",0,14,101766,0.00
"tolazamide","text",0,3,101766,0.00
"tolbutamide","text",0,2,101766,0.00
"troglitazone","text",0,2,101766,0.00
"repaglinide","text",0,4,101766,0.00
"acarbose","text",0,4,101766,0.00
"acetohexamide","text",0,2,101766,0.00
"admission_source_id","text",0,17,101766,0.00
"admission_type_id","text",0,8,101766,0.00
"age","text",0,10,101766,0.00
"change","text",0,2,101766,0.00
"chlorpropamide","text",0,4,101766,0.00
"citoglipton","text",0,1,101766,0.00
